,id,name,city,latitude,longitude,dpcapacity,online_date,date
1,101,63rd St Beach,Chicago,41.78101637195999,-87.5761197602,23,7/16/2013 01:27:50,2013-07-16 01:27:50
2,109,900 W Harrison St,Chicago,41.874675,-87.650019,19,7/18/2013 16:45:02,2013-07-18 16:45:02
3,21,Aberdeen St & Jackson Blvd,Chicago,41.87772613,-87.65478743,15,6/22/2013 19:07:12,2013-06-22 19:07:12
4,80,Aberdeen St & Madison (Monroe) St,Chicago,41.881567,-87.655056,19,6/26/2013 19:00:18,2013-06-26 19:00:18
5,346,Ada St & Washington Blvd,Chicago,41.88283,-87.661206,15,10/4/2013 14:37:09,2013-10-04 14:37:09
6,341,Adler Planetarium,Chicago,41.866095,-87.60726700000001,35,10/3/2013 12:01:36,2013-10-03 12:01:36
11,275,Ashland Ave & 13th St,Chicago,41.865234,-87.666507,15,9/10/2013 12:20:45,2013-09-10 12:20:45
12,208,Ashland Ave & 21st St,Chicago,41.853809999999996,-87.665897,15,8/14/2013 13:01:52,2013-08-14 13:01:52
18,30,Ashland Ave & Augusta Blvd,Chicago,41.899643,-87.6677,15,6/22/2013 20:54:40,2013-06-22 20:54:40
19,246,Ashland Ave & Belle Plaine Ave,Chicago,41.956061,-87.668869,11,8/22/2013 12:47:32,2013-08-22 12:47:32
20,333,Ashland Ave & Blackhawk St,Chicago,41.907066,-87.667252,15,9/25/2013 16:37:22,2013-09-25 16:37:22
21,350,Ashland Ave & Chicago Ave,Chicago,41.895965999999994,-87.66774699999999,15,10/10/2013 14:22:58,2013-10-10 14:22:58
22,210,Ashland Ave & Division St,Chicago,41.90345,-87.66774699999999,19,8/14/2013 16:30:43,2013-08-14 16:30:43
24,347,Ashland Ave & Grace St,Chicago,41.950687,-87.6687,15,10/4/2013 16:06:46,2013-10-04 16:06:46
25,277,Ashland Ave & Grand Ave,Chicago,41.891071999999994,-87.666611,15,9/10/2013 14:57:08,2013-09-10 14:57:08
27,119,Ashland Ave & Lake St,Chicago,41.88541,-87.66731999999999,19,7/18/2013 17:21:18,2013-07-18 17:21:18
30,250,Ashland Ave & Wellington Ave,Chicago,41.936083,-87.66980699999999,19,8/23/2013 09:09:59,2013-08-23 09:09:59
31,166,Ashland Ave & Wrightwood Ave,Chicago ,41.92883,-87.66850699999999,15,7/19/2013 10:07:29,2013-07-19 10:07:29
37,113,Bissell St & Armitage Ave,Chicago ,41.918440000000004,-87.65222,15,7/18/2013 17:09:35,2013-07-18 17:09:35
38,121,Blackstone Ave & Hyde Park Blvd,Chicago,41.802562,-87.59036800000001,19,7/18/2013 17:22:27,2013-07-18 17:22:27
39,129,Blue Island Ave & 18th St,Chicago ,41.857556,-87.661535,15,7/18/2013 17:56:35,2013-07-18 17:56:35
41,295,Broadway & Argyle St,Chicago,41.973815,-87.65966,15,9/17/2013 17:38:47,2013-09-17 17:38:47
42,300,Broadway & Barry Ave,Chicago,41.937725,-87.644095,19,9/18/2013 15:13:12,2013-09-18 15:13:12
43,296,Broadway & Belmont Ave,Chicago,41.940106,-87.645451,15,9/17/2013 17:48:58,2013-09-17 17:48:58
44,294,Broadway & Berwyn Ave,Chicago,41.978353000000006,-87.65975300000001,15,9/17/2013 15:42:58,2013-09-17 15:42:58
45,303,Broadway & Cornelia Ave,Chicago,41.945529,-87.646439,23,9/19/2013 09:39:45,2013-09-19 09:39:45
48,256,Broadway & Sheridan Rd,Chicago,41.952833,-87.64999300000001,15,8/31/2013 11:54:12,2013-08-31 11:54:12
50,304,Broadway & Waveland Ave,Chicago,41.949065000000004,-87.648601,15,9/19/2013 12:10:46,2013-09-19 12:10:46
51,293,Broadway & Wilson Ave,Chicago,41.965485,-87.657238,19,9/17/2013 14:59:37,2013-09-17 14:59:37
52,2,Buckingham Fountain,Chicago,41.88106,-87.619486,27,6/10/2013 10:43:46,2013-06-10 10:43:46
54,4,Burnham Harbor,Chicago,41.856268,-87.613348,23,6/10/2013 10:46:02,2013-06-10 10:46:02
55,348,California Ave & 21st St,Chicago,41.854015999999994,-87.69544499999999,15,10/9/2013 16:13:07,2013-10-09 16:13:07
61,216,California Ave & Division St,Chicago,41.903029,-87.697474,15,8/15/2013 14:13:09,2013-08-15 14:13:09
63,259,California Ave & Francis Pl,Chicago,41.918121,-87.696972,15,9/3/2013 09:39:15,2013-09-03 09:39:15
65,123,California Ave & Milwaukee Ave,Chicago,41.922695000000004,-87.697153,15,7/18/2013 17:23:40,2013-07-18 17:23:40
67,276,California Ave & North Ave,Chicago,41.91044,-87.6972,11,9/10/2013 14:24:37,2013-09-10 14:24:37
68,338,Calumet Ave & 18th St,Chicago,41.857611,-87.619407,15,9/26/2013 15:59:54,2013-09-26 15:59:54
70,149,Calumet Ave & 33rd St,Chicago ,41.8349,-87.61793,11,7/19/2013 09:23:13,2013-07-19 09:23:13
71,335,Calumet Ave & 35th St,Chicago,41.831379,-87.618034,15,9/26/2013 10:33:04,2013-09-26 10:33:04
76,160,Campbell Ave & North Ave,Chicago,41.910534999999996,-87.68955600000001,15,7/19/2013 09:57:20,2013-07-19 09:57:20
77,192,Canal St & Adams St,Chicago,41.879255,-87.639904,47,8/6/2013 13:27:29,2013-08-06 13:27:29
78,169,Canal St & Harrison St,Chicago ,41.874337,-87.639566,15,7/19/2013 10:09:06,2013-07-19 10:09:06
79,75,Canal St & Jackson Blvd,Chicago,41.877245,-87.63936600000001,31,6/26/2013 15:21:54,2013-06-26 15:21:54
80,174,Canal St & Madison St,Chicago ,41.882090999999996,-87.639833,27,7/19/2013 11:07:46,2013-07-19 11:07:46
81,191,Canal St & Monroe St (*),Chicago,41.880884,-87.639525,28,8/6/2013 13:14:16,2013-08-06 13:14:16
83,34,Cannon Dr & Fullerton Ave,Chicago,41.9267559875,-87.6344287848,15,6/22/2013 21:09:55,2013-06-22 21:09:55
84,92,Carpenter St & Huron St,Chicago,41.894556,-87.653449,19,6/27/2013 08:58:55,2013-06-27 08:58:55
97,196,Cityfront Plaza Dr & Pioneer Ct,Chicago,41.890572999999996,-87.622072,19,8/7/2013 16:23:06,2013-08-07 16:23:06
98,159,Claremont Ave & Hirsch St,Chicago,41.907781,-87.685854,11,7/19/2013 09:56:47,2013-07-19 09:56:47
99,312,Clarendon Ave & Gordon Ter,Chicago,41.957879,-87.649519,15,9/20/2013 09:45:27,2013-09-20 09:45:27
100,245,Clarendon Ave & Junior Ter,Chicago,41.961003999999996,-87.649603,23,8/22/2013 11:01:23,2013-08-22 11:01:23
101,251,Clarendon Ave & Leland Ave,Chicago,41.967968,-87.650001,15,8/26/2013 11:52:52,2013-08-26 11:52:52
103,94,Clark St & Armitage Ave,Chicago,41.918306,-87.636282,31,6/27/2013 12:33:54,2013-06-27 12:33:54
106,337,Clark St & Chicago Ave,Chicago,41.896544,-87.630931,19,9/26/2013 15:53:11,2013-09-26 15:53:11
