,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,latitude,longitude
0,30162,W,18th (54th/Cermak-bound),18th,18th (Pink Line),40830,True,False,False,False,False,False,False,False,True,False,"(41.857908, -87.669147)",8.0,14920,33.0,343.0,26.0,41.857908,-87.669147
1,30161,E,18th (Loop-bound),18th,18th (Pink Line),40830,True,False,False,False,False,False,False,False,True,False,"(41.857908, -87.669147)",8.0,14920,33.0,343.0,26.0,41.857908,-87.669147
2,30022,N,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),40120,True,False,False,False,False,False,False,False,False,True,"(41.829353, -87.680622)",26.0,14924,56.0,719.0,1.0,41.829353,-87.680622
3,30023,S,35th/Archer (Midway-bound),35th/Archer,35th/Archer (Orange Line),40120,True,False,False,False,False,False,False,False,False,True,"(41.829353, -87.680622)",26.0,14924,56.0,719.0,1.0,41.829353,-87.680622
4,30214,S,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,True,False,False,True,False,False,False,False,False,False,"(41.831677, -87.625826)",12.0,21194,1.0,25.0,9.0,41.831677,-87.625826
5,30213,N,35-Bronzeville-IIT (Harlem-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,True,False,False,True,False,False,False,False,False,False,"(41.831677, -87.625826)",12.0,21194,1.0,25.0,9.0,41.831677,-87.625826
6,30246,S,43rd (63rd-bound),43rd,43rd (Green Line),41270,True,False,False,True,False,False,False,False,False,False,"(41.816462, -87.619021)",12.0,4301,4.0,162.0,9.0,41.816462,-87.619021
7,30245,N,43rd (Harlem-bound),43rd,43rd (Green Line),41270,True,False,False,True,False,False,False,False,False,False,"(41.816462, -87.619021)",12.0,4301,4.0,162.0,9.0,41.816462,-87.619021
8,30210,S,47th (63rd-bound),47th,47th (Green Line),41080,True,False,False,True,False,False,False,False,False,False,"(41.809209, -87.618826)",12.0,21192,4.0,448.0,9.0,41.809209,-87.618826
9,30209,N,47th (Harlem-bound),47th,47th (Green Line),41080,True,False,False,True,False,False,False,False,False,False,"(41.809209, -87.618826)",12.0,21192,4.0,448.0,9.0,41.809209,-87.618826
10,30238,S,47th (95th-bound),47th,47th (Red Line),41230,True,True,False,False,False,False,False,False,False,False,"(41.810318, -87.63094)",12.0,14924,3.0,189.0,9.0,41.810318,-87.63094
11,30237,N,47th (Howard-bound),47th,47th (Red Line),41230,True,True,False,False,False,False,False,False,False,False,"(41.810318, -87.63094)",12.0,14924,3.0,189.0,9.0,41.810318,-87.63094
12,30025,S,51st (63rd-bound),51st,51st (Green Line),40130,True,False,False,True,False,False,False,False,False,False,"(41.80209, -87.618487)",12.0,21192,4.0,449.0,9.0,41.80209,-87.618487
13,30024,N,51st (Harlem-bound),51st,51st (Green Line),40130,True,False,False,True,False,False,False,False,False,False,"(41.80209, -87.618487)",12.0,21192,4.0,449.0,9.0,41.80209,-87.618487
14,30113,E,54th/Cermak (Loop-bound),54th/Cermak,54th/Cermak (Pink Line),40580,True,False,False,False,False,False,False,False,True,False,"(41.85177331, -87.75669201)",,4458,,,,41.85177331,-87.75669201
15,30114,W,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),40580,True,False,False,False,False,False,False,False,True,False,"(41.85177331, -87.75669201)",,4458,,,,41.85177331,-87.75669201
16,30178,S,63rd (95th-bound),63rd,63rd (Red Line),40910,True,True,False,False,False,False,False,False,False,False,"(41.780536, -87.630952)",53.0,21559,66.0,166.0,4.0,41.780536,-87.630952
17,30177,N,63rd (Howard-bound),63rd,63rd (Red Line),40910,True,True,False,False,False,False,False,False,False,False,"(41.780536, -87.630952)",53.0,21559,66.0,166.0,4.0,41.780536,-87.630952
18,30192,S,69th (95th-bound),69th,69th (Red Line),40990,True,True,False,False,False,False,False,False,False,False,"(41.768367, -87.625724)",31.0,21559,67.0,513.0,32.0,41.768367,-87.625724
19,30191,N,69th (Howard-bound),69th,69th (Red Line),40990,True,True,False,False,False,False,False,False,False,False,"(41.768367, -87.625724)",31.0,21559,67.0,513.0,32.0,41.768367,-87.625724
20,30047,S,79th (95th-bound),79th,79th (Red Line),40240,True,True,False,False,False,False,False,False,False,False,"(41.750419, -87.625112)",31.0,21554,40.0,1.0,32.0,41.750419,-87.625112
21,30046,N,79th (Howard-bound),79th,79th (Red Line),40240,True,True,False,False,False,False,False,False,False,False,"(41.750419, -87.625112)",31.0,21554,40.0,1.0,32.0,41.750419,-87.625112
22,30275,N,87th (Howard-bound),87th,87th (Red Line),41430,True,True,False,False,False,False,False,False,False,False,"(41.735372, -87.624717)",18.0,21554,40.0,1.0,13.0,41.735372,-87.624717
23,30276,S,87th (95th-bound),87th,87th (Red Line),41430,True,True,False,False,False,False,False,False,False,False,"(41.735372, -87.624717)",18.0,21554,40.0,1.0,13.0,41.735372,-87.624717
24,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,True,True,False,False,False,False,False,False,False,False,"(41.722377, -87.624342)",18.0,21861,45.0,187.0,13.0,41.722377,-87.624342
25,30088,N,95th/Dan Ryan (Howard-bound),95th/Ran Ryan,95th/Ran Ryan (Red Line),40450,True,True,False,False,False,False,False,False,False,False,"(41.722377, -87.624342)",18.0,21861,45.0,187.0,13.0,41.722377,-87.624342
26,30132,S,Adams/Wabash (Inner Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,False,False,False,True,False,False,True,False,True,True,"(41.879507, -87.626037)",22.0,14912,38.0,367.0,36.0,41.879507,-87.626037
27,30131,N,Adams/Wabash (Outer Loop),Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple Lines)",40680,False,False,False,True,True,False,False,False,False,False,"(41.879507, -87.626037)",22.0,14912,38.0,367.0,36.0,41.879507,-87.626037
28,30239,N,Addison (O'Hare-bound),Addison,Addison (Blue Line),41240,True,False,True,False,False,False,False,False,False,False,"(41.94738, -87.71906)",15.0,21538,16.0,326.0,50.0,41.94738,-87.71906
29,30240,S,Addison (Forest Pk-bound),Addison,Addison (Blue Line),41240,True,False,True,False,False,False,False,False,False,False,"(41.94738, -87.71906)",15.0,21538,16.0,326.0,50.0,41.94738,-87.71906
30,30277,N,Addison (Kimball-bound),Addison,Addison (Brown Line),41440,True,False,False,False,True,False,False,False,False,False,"(41.947028, -87.674642)",13.0,21186,46.0,644.0,18.0,41.947028,-87.674642
31,30278,S,Addison (Loop-bound),Addison,Addison (Brown Line),41440,True,False,False,False,True,False,False,False,False,False,"(41.947028, -87.674642)",13.0,21186,46.0,644.0,18.0,41.947028,-87.674642
32,30274,S,Addison (95th-bound),Addison,Addison (Red Line),41420,True,True,False,False,False,False,False,False,False,False,"(41.947428, -87.653626)",38.0,21186,57.0,727.0,25.0,41.947428,-87.653626
33,30273,N,Addison (Howard-bound),Addison,Addison (Red Line),41420,True,True,False,False,False,False,False,False,False,False,"(41.947428, -87.653626)",38.0,21186,57.0,727.0,25.0,41.947428,-87.653626
34,30230,S,Argyle (95th-bound),Argyle,Argyle (Red Line),41200,False,True,False,False,False,False,False,False,False,False,"(41.973453, -87.65853)",40.0,22616,31.0,634.0,16.0,41.973453,-87.65853
35,30229,N,Argyle (Howard-bound),Argyle,Argyle (Red Line),41200,False,True,False,False,False,False,False,False,False,False,"(41.973453, -87.65853)",40.0,22616,31.0,634.0,16.0,41.973453,-87.65853
36,30127,N,Armitage (Kimball-Linden-bound),Armitage,Armitage (Brown & Purple Lines),40660,True,False,False,False,True,False,True,False,False,False,"(41.918217, -87.652644)",51.0,21190,68.0,744.0,34.0,41.918217,-87.652644
37,30128,S,Armitage (Loop-bound),Armitage,Armitage (Brown & Purple Lines),40660,True,False,False,False,True,False,True,False,False,False,"(41.918217, -87.652644)",51.0,21190,68.0,744.0,34.0,41.918217,-87.652644
38,30032,E,Ashland (Loop-63rd-bound),Ashland,Ashland (Green & Pink Lines),40170,True,False,False,True,False,False,False,False,True,False,"(41.885269, -87.666969)",41.0,14917,29.0,579.0,46.0,41.885269,-87.666969
39,30033,W,Ashland (Harlem-54th/Cermak-bound),Ashland,Ashland (Green & Pink Lines),40170,True,False,False,True,False,False,False,False,True,False,"(41.885269, -87.666969)",41.0,14917,29.0,579.0,46.0,41.885269,-87.666969
40,30205,N,Ashland (Loop-bound),Ashland,Ashland (Orange Line),41060,True,False,False,False,False,False,False,False,False,True,"(41.839234, -87.665317)",26.0,14920,33.0,126.0,26.0,41.839234,-87.665317
41,30206,S,Ashland (Midway-bound),Ashland,Ashland (Orange Line),41060,True,False,False,False,False,False,False,False,False,True,"(41.839234, -87.665317)",26.0,14920,33.0,126.0,26.0,41.839234,-87.665317
42,30056,E,Ashland/63rd (Harlem-bound),Ashland/63rd,Ashland/63rd (Green Line),40290,True,False,False,True,False,False,False,False,False,False,"(41.77886, -87.663766)",19.0,22257,65.0,279.0,2.0,41.77886,-87.663766
43,30057,W,Ashland/63rd (Terminal arrival),Ashland/63rd,Ashland/63rd (Green Line),40290,True,False,False,True,False,False,False,False,False,False,"(41.77886, -87.663766)",19.0,22257,65.0,279.0,2.0,41.77886,-87.663766
44,30002,W,Austin (Forest Pk-bound),Austin,Austin (Blue Line),40010,False,False,True,False,False,False,False,False,False,False,"(41.870851, -87.776812)",,26618,,,,41.870851,-87.776812
45,30001,E,Austin (O'Hare-bound),Austin,Austin (Blue Line),40010,False,False,True,False,False,False,False,False,False,False,"(41.870851, -87.776812)",,26618,,,,41.870851,-87.776812
46,30243,E,Austin (63rd-bound),Austin,Austin (Green Line),41260,False,False,False,True,False,False,False,False,False,False,"(41.887293, -87.774135)",52.0,22216,26.0,672.0,7.0,41.887293,-87.774135
47,30244,W,Austin (Harlem-bound),Austin,Austin (Green Line),41260,False,False,False,True,False,False,False,False,False,False,"(41.887293, -87.774135)",52.0,22216,26.0,672.0,7.0,41.887293,-87.774135
48,30013,S,Belmont (O'Hare Branch) (Forest Pk-bound),Belmont,Belmont (Blue Line),40060,False,False,True,False,False,False,False,False,False,False,"(41.938132, -87.712359)",15.0,21538,22.0,216.0,12.0,41.938132,-87.712359
49,30012,N,Belmont (O'Hare Branch) (O'Hare-bound),Belmont,Belmont (Blue Line),40060,False,False,True,False,False,False,False,False,False,False,"(41.938132, -87.712359)",15.0,21538,22.0,216.0,12.0,41.938132,-87.712359
50,30256,S,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320,True,True,False,False,False,False,False,False,False,False,"(41.939751, -87.65338)",38.0,4449,57.0,681.0,25.0,41.939751,-87.65338
